Max Temperature,57,54,50,-
Avg Temperature,49,43,38,-
Min Temperature,39,34,23,-
Max Temperature,62,54,55,-
Avg Temperature,54,48,42,-
Min Temperature,45,41,34,-
Max Temperature,73,59,48,-
Avg Temperature,57,49,43,-
Min Temperature,48,44,36,-
Max Temperature,89,70,55,-
Avg Temperature,66,57,49,-
Min Temperature,55,51,43,-
Max Temperature,87,70,57,-
Avg Temperature,69,61,52,-
Min Temperature,57,55,46,-
Max Temperature,91,78,66,-
Avg Temperature,73,64,56,-
Min Temperature,60,54,45,-
Max Temperature,88,75,64,-
Avg Temperature,76,67,59,-
Min Temperature,68,62,57,-
Max Temperature,95,78,66,-
Avg Temperature,79,69,58,-
Min Temperature,70,60,26,-
Max Temperature,79,67,59,-
Avg Temperature,70,62,54,-
Min Temperature,64,56,46,-
Max Temperature,68,60,55,-
Avg Temperature,62,55,50,-
Min Temperature,52,48,39,-
Max Temperature,71,60,53,-
Avg Temperature,56,51,46,-
Min Temperature,48,44,36,-
Max Temperature,51,46,44,-
Avg Temperature,42,38,34,-
Min Temperature,34,28,21,-
