Max Temperature,85,71,60,-
Avg Temperature,73,62,51,-
Min Temperature,59,48,37,-
Max Temperature,88,73,59,-
Avg Temperature,74,64,54,-
Min Temperature,64,58,46,-
Max Temperature,93,79,66,-
Avg Temperature,79,68,57,-
Min Temperature,63,56,48,-
Max Temperature,92,77,61,-
Avg Temperature,76,66,56,-
Min Temperature,66,59,49,-
Max Temperature,84,71,60,-
Avg Temperature,71,64,57,-
Min Temperature,63,57,50,-
Max Temperature,91,80,68,-
Avg Temperature,79,71,62,-
Min Temperature,70,65,58,-
Max Temperature,92,82,72,-
Avg Temperature,82,74,66,-
Min Temperature,75,69,62,-
Max Temperature,97,85,73,-
Avg Temperature,86,77,68,-
Min Temperature,78,71,63,-
Max Temperature,101,89,78,-
Avg Temperature,88,79,69,-
Min Temperature,78,72,64,-
Max Temperature,100,87,74,-
Avg Temperature,85,76,66,-
Min Temperature,73,68,60,-
Max Temperature,87,73,59,-
Avg Temperature,74,63,51,-
Min Temperature,63,55,45,-
Max Temperature,83,69,56,-
Avg Temperature,67,57,47,-
Min Temperature,58,48,36,-
