Max Temperature,77,64,55,-
Avg Temperature,66,58,49,-
Min Temperature,58,52,43,-
Max Temperature,90,75,61,-
Avg Temperature,77,65,52,-
Min Temperature,58,51,41,-
Max Temperature,87,72,59,-
Avg Temperature,72,63,54,-
Min Temperature,61,54,47,-
Max Temperature,89,76,62,-
Avg Temperature,76,67,57,-
Min Temperature,61,60,53,-
Max Temperature,78,69,62,-
Avg Temperature,72,65,58,-
Min Temperature,67,62,56,-
Max Temperature,101,86,71,-
Avg Temperature,80,72,63,-
Min Temperature,70,65,58,-
Max Temperature,97,84,71,-
Avg Temperature,84,75,66,-
Min Temperature,74,69,63,-
Max Temperature,91,78,67,-
Avg Temperature,83,74,65,-
Min Temperature,76,69,60,-
Max Temperature,104,87,71,-
Avg Temperature,83,74,64,-
Min Temperature,70,65,58,-
Max Temperature,95,78,64,-
Avg Temperature,79,70,60,-
Min Temperature,68,63,57,-
Max Temperature,93,79,64,-
Avg Temperature,77,66,55,-
Min Temperature,63,54,45,-
Max Temperature,82,69,59,-
Avg Temperature,67,59,50,-
Min Temperature,58,51,40,-
