Max Temperature,55,46,41,-
Avg Temperature,42,36,30,-
Min Temperature,30,26,16,-
Max Temperature,60,52,46,-
Avg Temperature,49,43,37,-
Min Temperature,40,34,30,-
Max Temperature,65,56,52,-
Avg Temperature,55,48,42,-
Min Temperature,45,38,33,-
Max Temperature,72,56,51,-
Avg Temperature,59,50,43,-
Min Temperature,50,44,34,-
Max Temperature,93,78,61,-
Avg Temperature,71,60,49,-
Min Temperature,56,48,41,-
Max Temperature,100,83,68,-
Avg Temperature,77,66,56,-
Min Temperature,61,56,45,-
Max Temperature,94,77,65,-
Avg Temperature,85,70,56,-
Min Temperature,73,63,51,-
Max Temperature,106,86,66,-
Avg Temperature,89,74,59,-
Min Temperature,75,63,50,-
Max Temperature,100,79,67,-
Avg Temperature,79,66,55,-
Min Temperature,61,54,46,-
Max Temperature,75,62,54,-
Avg Temperature,65,55,45,-
Min Temperature,55,47,33,-
Max Temperature,63,60,56,-
Avg Temperature,54,48,43,-
Min Temperature,45,38,34,-
Max Temperature,58,50,54,-
Avg Temperature,47,40,34,-
Min Temperature,33,30,23,-
